Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,SDGR,0.3333333333333333,0.5,0.2222222222222222,0.6,0.2222222222222222,1.0,0.5,0.0,0.6666666666666666,0.6428571428571429,0.0,0.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.3571428571428571,0.0,0.0,0.5,0.125,0.25,0.7552910052910055,0.6179276984157216,0.6006995232485213,0.5,0.5,0.005983829498291
FeatureEnvy,SDGR,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1111111111111111,0.5,0.0,0.2222222222222222,1.0,0.5714285714285714,0.0,0.0,1.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.3928571428571428,0.0357142857142857,0.0,0.5,0.25,0.25,0.7376543209876545,0.6189434736674899,0.591149892963417,0.5238095238095238,0.5714285714285714,0.0090246200561523
FeatureEnvy,SDGR,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.0,0.7777777777777778,0.6666666666666666,0.6071428571428571,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.3928571428571428,0.0,0.0,0.6190476190476191,0.5,0.875,0.8170194003527338,0.7360541554164461,0.6823900936580233,0.3809523809523809,0.3809523809523809,0.0099730491638183
FeatureEnvy,SDGR,0.6428571428571429,1.0,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.6,1.0,0.6785714285714286,0.0,0.0,1.0,0.1,0.3,0.0,0.0,0.0,0.0,0.3214285714285714,0.0,0.0,0.6428571428571429,0.4375,0.75,0.7925170068027207,0.7171509501620471,0.6767453809203244,0.3809523809523809,0.4285714285714285,0.0089709758758544
FeatureEnvy,SDGR,0.5357142857142857,0.8333333333333334,0.3571428571428571,1.0,0.2142857142857142,1.0,0.0,0.1,1.0,0.7857142857142857,0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.5952380952380952,0.125,0.25,0.7942176870748301,0.7774617700571038,0.7564566648856265,0.4047619047619047,0.4047619047619047,0.0059828758239746
FeatureEnvy,SDGR,0.4642857142857143,0.7222222222222222,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.0,0.3,1.0,0.6785714285714286,0.0,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3214285714285714,0.0,0.0,0.5714285714285714,0.25,0.5,0.798469387755102,0.7297608322000457,0.698869769300257,0.4285714285714285,0.4285714285714285,0.0079479217529296
FeatureEnvy,SDGR,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.3,1.0,0.75,0.0,0.0,0.5,0.0,0.6,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.6428571428571429,0.3125,0.5,0.8052721088435376,0.7840675258506452,0.7467426270620092,0.3571428571428571,0.3571428571428571,0.0089695453643798
FeatureEnvy,SDGR,0.5,0.7777777777777778,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.3,1.0,0.7857142857142857,0.0,0.0,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.6666666666666666,0.375,0.5,0.8112244897959183,0.7969332062420711,0.76730131217892,0.3333333333333333,0.3333333333333333,0.0079827308654785
FeatureEnvy,SDGR,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.2068965517241379,1.0,0.6666666666666666,0.2222222222222222,1.0,0.6785714285714286,0.0,0.0,0.3333333333333333,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.3214285714285714,0.0,0.0,0.5952380952380952,0.375,0.625,0.7655993431855498,0.7386021587187064,0.7120502301836821,0.4047619047619047,0.4047619047619047,0.0079846382141113
FeatureEnvy,SDGR,0.4827586206896552,0.7368421052631579,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.0,0.2222222222222222,1.0,0.5714285714285714,0.0,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.4761904761904761,0.25,0.25,0.7335796387520525,0.5835611297056722,0.5538536143810271,0.5714285714285714,0.6666666666666666,0.0059807300567626
FeatureEnvy,SDGR,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.2222222222222222,0.6666666666666666,0.8214285714285714,0.0,0.5,0.0,0.0,0.7777777777777778,0.0,0.3333333333333333,0.0,0.0,0.1785714285714285,0.0,0.0,0.6666666666666666,0.3125,0.5,0.7746913580246915,0.7592696962933903,0.7228939892765299,0.3571428571428571,0.4047619047619047,0.00797700881958
FeatureEnvy,SDGR,0.6666666666666666,1.0,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.4285714285714285,0.0,0.0,0.5238095238095238,0.375,0.5,0.7588183421516757,0.6353935739584478,0.6031886379935189,0.4761904761904761,0.4761904761904761,0.0109751224517822
FeatureEnvy,SDGR,0.5925925925925926,0.8888888888888888,0.3703703703703703,1.0,0.1481481481481481,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6428571428571429,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.5714285714285714,0.3125,0.375,0.7782186948853616,0.7128896253794557,0.6809084554450989,0.4285714285714285,0.4285714285714285,0.0079798698425292
FeatureEnvy,SDGR,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.0,0.4,1.0,0.6071428571428571,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.3928571428571428,0.0,0.0,0.5476190476190477,0.375,0.625,0.7482993197278912,0.7117811278432915,0.6766065792164061,0.4523809523809524,0.4523809523809524,0.008012056350708
FeatureEnvy,SDGR,0.5,0.7777777777777778,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.5,0.0,1.0,0.7857142857142857,0.0,0.0,0.5,0.0,0.9,0.1,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.5952380952380952,0.1875,0.125,0.8061224489795918,0.7766839813852497,0.7527637943656342,0.4047619047619047,0.4047619047619047,0.0099809169769287
FeatureEnvy,SDGR,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.4,1.0,0.6785714285714286,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.3214285714285714,0.0,0.0,0.6190476190476191,0.375,0.75,0.8044217687074828,0.7470207433743542,0.7145564593656366,0.3809523809523809,0.3809523809523809,0.0079953670501708
FeatureEnvy,SDGR,0.5,0.7777777777777778,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.0,0.2,1.0,0.7857142857142857,0.0,0.0,1.0,0.1,0.6,0.1,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.6190476190476191,0.1875,0.25,0.78656462585034,0.7341331986860751,0.6991337136158963,0.4047619047619047,0.4523809523809524,0.0089826583862304
FeatureEnvy,SDGR,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,0.0,0.4,1.0,0.6071428571428571,0.0,0.0,1.0,0.1,0.5,0.0,0.0,0.0,0.0,0.3928571428571428,0.0,0.0,0.5476190476190477,0.3125,0.5,0.7517006802721088,0.6473243050191647,0.6141523804799599,0.4761904761904761,0.5238095238095238,0.0090246200561523
FeatureEnvy,SDGR,0.4482758620689655,0.6842105263157895,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.2222222222222222,1.0,0.7142857142857143,0.0,0.0,0.6666666666666666,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.25,0.0357142857142857,0.0,0.5952380952380952,0.1875,0.375,0.7861247947454844,0.7243059171506971,0.6945098688818773,0.4285714285714285,0.4761904761904761,0.0070085525512695
FeatureEnvy,SDGR,0.5862068965517241,0.8947368421052632,0.3793103448275862,1.0,0.2068965517241379,1.0,0.3333333333333333,0.4444444444444444,1.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.375,0.625,0.8173234811165845,0.7028603742360157,0.6654993542590312,0.5,0.5,0.0069808959960937
FeatureEnvy,SDGR,0.4444444444444444,0.6666666666666666,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.0,0.2222222222222222,1.0,0.6785714285714286,0.0,0.5,0.5,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.3214285714285714,0.0,0.0,0.5714285714285714,0.1875,0.25,0.7508818342151676,0.6869488513855861,0.6542719747214841,0.4523809523809524,0.5,0.0080163478851318
FeatureEnvy,SDGR,0.5925925925925926,0.8888888888888888,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,1.0,0.3333333333333333,1.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.6190476190476191,0.375,0.625,0.7852733686067019,0.7336163311325232,0.7015975494589954,0.3809523809523809,0.3809523809523809,0.0109426975250244
FeatureEnvy,SDGR,0.5185185185185185,0.7777777777777778,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.0,0.2222222222222222,0.6666666666666666,0.8214285714285714,0.0,0.0,1.0,0.1111111111111111,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.1785714285714285,0.0,0.0,0.6428571428571429,0.25,0.25,0.7632275132275133,0.7165461508983252,0.6874261201060019,0.3809523809523809,0.4285714285714285,0.0079810619354248
FeatureEnvy,SDGR,0.4285714285714285,0.6666666666666666,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.3,1.0,0.5357142857142857,0.0,0.0,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.0,0.5,0.25,0.5,0.7551020408163268,0.6627026131841693,0.6348630035014625,0.5,0.5,0.0089781284332275
