Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,SDGR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.25,0.6666666666666666,1.0,0.9285714285714286,0.0,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.8095238095238095,0.5,0.75,0.8452380952380952,0.9300111909242468,0.8908550618325616,0.1904761904761904,0.1904761904761904,0.0069782733917236
LongMethod,SDGR,0.6451612903225806,1.0,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.25,0.6666666666666666,1.0,0.7857142857142857,0.0,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.7142857142857143,0.5,0.625,0.8306451612903227,0.8513747591336909,0.804803245292489,0.2857142857142857,0.2857142857142857,0.0079627037048339
LongMethod,SDGR,0.6129032258064516,0.95,0.2903225806451613,0.75,0.1612903225806451,0.8333333333333334,0.25,0.7777777777777778,1.0,0.8214285714285714,0.0,0.25,0.5,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1785714285714285,0.0,0.0,0.7619047619047619,0.5625,0.75,0.8137480798771122,0.8553781794291202,0.7980498788703992,0.2619047619047619,0.3095238095238095,0.0109732151031494
LongMethod,SDGR,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1612903225806451,0.8333333333333334,0.0,0.5555555555555556,0.0,0.8214285714285714,0.0,0.25,0.75,0.0,0.3333333333333333,0.1111111111111111,0.0,1.0,0.0,0.1785714285714285,0.0,0.0,0.6666666666666666,0.3125,0.5,0.8206605222734256,0.8386862975442513,0.7589701167607663,0.3571428571428571,0.4047619047619047,0.0119709968566894
LongMethod,SDGR,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,0.6666666666666666,0.7,1.0,0.8928571428571429,0.0,0.0,0.3333333333333333,0.0,0.3,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.8333333333333334,0.625,0.875,0.8420634920634921,0.9103896359662018,0.8759815782295741,0.1666666666666666,0.1666666666666666,0.0099782943725585
LongMethod,SDGR,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.1666666666666666,0.8333333333333334,0.0,0.4,1.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.6904761904761905,0.3125,0.5,0.8134920634920636,0.8628088748971674,0.8266964671235755,0.3095238095238095,0.3095238095238095,0.0089743137359619
LongMethod,SDGR,0.6,0.9473684210526316,0.3,0.8181818181818182,0.1333333333333333,0.6666666666666666,0.0,0.6,1.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.3,0.1,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.7380952380952381,0.4375,0.625,0.8206349206349207,0.8791456504746805,0.8234222098807172,0.2619047619047619,0.2619047619047619,0.0089738368988037
LongMethod,SDGR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.6,0.0,0.8214285714285714,0.0,0.0,0.6666666666666666,0.0,0.4,0.0,0.0,1.0,0.0,0.1785714285714285,0.0,0.0,0.7142857142857143,0.4375,0.75,0.8142857142857144,0.8569023913116616,0.8014638562768552,0.2857142857142857,0.2857142857142857,0.007991075515747
LongMethod,SDGR,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.6,0.0,0.8571428571428571,0.0,0.0,0.3333333333333333,0.0,0.3,0.1,0.0,1.0,0.0,0.1428571428571428,0.0,0.0,0.7619047619047619,0.5,0.75,0.8373015873015874,0.886006594381019,0.8307144373739881,0.238095238095238,0.238095238095238,0.0099740028381347
LongMethod,SDGR,0.6206896551724138,0.9473684210526316,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.0,0.6666666666666666,0.5,0.8214285714285714,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.1785714285714285,0.0,0.0,0.7142857142857143,0.4375,0.5,0.8206075533661741,0.8582849804946373,0.800947028137548,0.2857142857142857,0.2857142857142857,0.0099802017211914
LongMethod,SDGR,0.6129032258064516,0.95,0.2580645161290322,0.6666666666666666,0.1612903225806451,0.8333333333333334,0.25,0.2222222222222222,0.0,0.8214285714285714,0.0,0.0,0.75,0.0,0.6666666666666666,0.1111111111111111,0.0,1.0,0.0,0.1785714285714285,0.0,0.0,0.6190476190476191,0.1875,0.375,0.8160522273425496,0.8388140379041097,0.7829220743466727,0.3809523809523809,0.3809523809523809,0.0089821815490722
LongMethod,SDGR,0.5806451612903226,0.9,0.2903225806451613,0.75,0.0967741935483871,0.5,0.0,0.4444444444444444,0.0,0.8928571428571429,0.0,0.25,0.75,0.0,0.5555555555555556,0.0,0.0,1.0,0.0,0.1071428571428571,0.0,0.0,0.6904761904761905,0.25,0.5,0.8152841781874038,0.8741138115073843,0.809546353438863,0.3333333333333333,0.3809523809523809,0.0100054740905761
LongMethod,SDGR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.0,0.7777777777777778,0.0,0.8928571428571429,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.1071428571428571,0.0,0.0,0.7619047619047619,0.4375,0.625,0.8375576036866357,0.9078179048521392,0.8476096704814664,0.238095238095238,0.238095238095238,0.0079777240753173
LongMethod,SDGR,0.6451612903225806,1.0,0.2903225806451613,0.75,0.1612903225806451,0.8333333333333334,0.25,0.4444444444444444,1.0,0.8571428571428571,0.0,0.0,0.75,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.7142857142857143,0.3125,0.625,0.825268817204301,0.8733716207254354,0.8360976786783755,0.2857142857142857,0.2857142857142857,0.0089764595031738
LongMethod,SDGR,0.6,0.9473684210526316,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.8,1.0,0.8928571428571429,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.8571428571428571,0.625,1.0,0.8420634920634921,0.9176313208282196,0.8840764275666002,0.1428571428571428,0.1428571428571428,0.0100066661834716
LongMethod,SDGR,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.8,1.0,0.8571428571428571,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.8095238095238095,0.625,1.0,0.8214285714285715,0.874175022690077,0.8192210761568361,0.2142857142857142,0.2619047619047619,0.0070123672485351
LongMethod,SDGR,0.6333333333333333,1.0,0.3666666666666666,1.0,0.1666666666666666,0.8333333333333334,0.0,0.8,1.0,0.7857142857142857,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.7380952380952381,0.5,0.625,0.807936507936508,0.8595760081605399,0.8074911037180251,0.2619047619047619,0.2619047619047619,0.0069801807403564
LongMethod,SDGR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.6,1.0,0.75,0.0,0.0,0.6666666666666666,0.0,0.2,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.6904761904761905,0.5,0.5,0.8325396825396825,0.8421414597567922,0.7798050730945446,0.3095238095238095,0.3095238095238095,0.0080080032348632
LongMethod,SDGR,0.6,0.9473684210526316,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.7,0.0,0.8571428571428571,0.0,0.0,0.6666666666666666,0.0,0.2,0.1,0.0,1.0,0.0,0.1428571428571428,0.0,0.0,0.7619047619047619,0.5,0.5,0.8301587301587302,0.8902074851629438,0.8273453372675518,0.238095238095238,0.238095238095238,0.0080499649047851
LongMethod,SDGR,0.5517241379310345,0.8421052631578947,0.3103448275862069,0.8181818181818182,0.1379310344827586,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.8571428571428571,0.0,0.0,0.6666666666666666,0.0,0.7777777777777778,0.0,0.0,0.5,0.0,0.1428571428571428,0.0,0.0,0.6666666666666666,0.25,0.375,0.824712643678161,0.849372529019376,0.8044565805838492,0.3333333333333333,0.3333333333333333,0.0109705924987792
LongMethod,SDGR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.25,0.5555555555555556,1.0,0.9642857142857144,0.0,0.0,0.75,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.8095238095238095,0.5,0.5,0.8367895545314902,0.9481024872683028,0.891137139894205,0.1904761904761904,0.1904761904761904,0.0120036602020263
LongMethod,SDGR,0.5161290322580645,0.8,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.25,0.3333333333333333,1.0,0.7857142857142857,0.0,0.25,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.6428571428571429,0.3125,0.625,0.8114439324116743,0.8019482207369519,0.7619047619047619,0.3809523809523809,0.4285714285714285,0.0109710693359375
LongMethod,SDGR,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1612903225806451,0.8333333333333334,0.0,0.5555555555555556,0.0,0.8928571428571429,0.0,0.25,0.75,0.0,0.4444444444444444,0.0,0.0,1.0,0.0,0.1071428571428571,0.0,0.0,0.7142857142857143,0.3125,0.625,0.8122119815668204,0.8782649250300244,0.809546353438863,0.3095238095238095,0.3571428571428571,0.0119681358337402
LongMethod,SDGR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.4444444444444444,0.0,0.7857142857142857,0.0,0.0,0.5,0.0,0.5555555555555556,0.0,0.0,1.0,0.0,0.2142857142857142,0.0,0.0,0.6666666666666666,0.375,0.75,0.8198924731182795,0.8339952582697181,0.7836625709652933,0.3333333333333333,0.3333333333333333,0.006976842880249
LongMethod,SDGR,0.6333333333333333,1.0,0.3,0.8181818181818182,0.1666666666666666,0.8333333333333334,0.0,0.6,1.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.7380952380952381,0.375,0.625,0.8388888888888891,0.8756695698906007,0.8319347004638369,0.2619047619047619,0.2619047619047619,0.0079829692840576
LongMethod,SDGR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.2,1.0,0.0,0.8,1.0,0.7857142857142857,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.7380952380952381,0.5625,0.625,0.8309523809523807,0.8595760081605399,0.8074911037180251,0.2619047619047619,0.2619047619047619,0.00697922706604
LongMethod,SDGR,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.1333333333333333,0.6666666666666666,0.3333333333333333,0.6,1.0,0.8928571428571429,0.0,0.0,0.6666666666666666,0.0,0.1,0.3,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.7857142857142857,0.5,0.625,0.8404761904761906,0.9092225243736062,0.8455795527379127,0.2142857142857142,0.2142857142857142,0.0109717845916748
LongMethod,SDGR,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.6,0.0,0.8571428571428571,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.0,1.0,0.0,0.1428571428571428,0.0,0.0,0.7619047619047619,0.5,0.875,0.8436507936507938,0.8800394552090196,0.8304652840115896,0.238095238095238,0.238095238095238,0.0079824924468994
LongMethod,SDGR,0.5,0.7894736842105263,0.2333333333333333,0.6363636363636364,0.1333333333333333,0.6666666666666666,0.0,0.7,0.0,0.6071428571428571,0.0,0.0,1.0,0.0,0.3,0.0,0.0,1.0,0.0,0.3928571428571428,0.0,0.0,0.5714285714285714,0.4375,0.875,0.8119047619047624,0.7920073017860021,0.7272922405309993,0.4285714285714285,0.4285714285714285,0.0109713077545166
