Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,SVM,0.3278688524590163,0.8333333333333334,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.0,0.75,0.0833333333333333,0.0,0.25,0.0,0.0,0.3636363636363636,0.6666666666666666,0.0,0.3333333333333333,0.0,0.25,0.0,0.6428571428571429,0.625,0.625,0.6762295081967215,0.7068950827182324,0.6347485687274401,0.5238095238095238,0.9047619047619048,0.012014627456665
DataClass,SVM,0.3548387096774194,0.9166666666666666,0.1774193548387097,0.9166666666666666,0.0967741935483871,1.0,0.5833333333333334,0.7272727272727273,0.25,0.8,0.25,0.0,0.1666666666666666,0.0909090909090909,0.0,0.1818181818181818,0.5,0.25,0.0,0.0,0.2,0.0,0.6666666666666666,0.6875,0.75,0.6470814132104454,0.6135910662666024,0.5740055424750463,0.5714285714285714,1.1904761904761905,0.0127336978912353
DataClass,SVM,0.3387096774193548,0.875,0.1451612903225806,0.75,0.0806451612903225,0.8333333333333334,0.5833333333333334,0.7272727272727273,0.0,0.8666666666666667,0.0,0.0,0.4166666666666667,0.0,0.0,0.2727272727272727,0.25,0.75,0.0,0.0,0.1333333333333333,0.0,0.6666666666666666,0.5625,0.625,0.6943164362519202,0.8157730901598559,0.7502209309159444,0.3809523809523809,0.4761904761904761,0.0209455490112304
DataClass,SVM,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.09375,1.0,0.6923076923076923,0.9090909090909092,0.3333333333333333,0.7333333333333333,0.1538461538461538,0.0,0.1538461538461538,0.0,0.0,0.0909090909090909,0.0,0.6666666666666666,0.0,0.0666666666666666,0.2,0.0,0.7380952380952381,0.6875,0.875,0.6755952380952381,0.7207786544506111,0.6880439962815351,0.4285714285714285,0.8571428571428571,0.0129635334014892
DataClass,SVM,0.3125,0.8333333333333334,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.5384615384615384,0.3636363636363636,0.0,0.8666666666666667,0.0,0.0769230769230769,0.3846153846153846,0.0909090909090909,0.0,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.5714285714285714,0.5625,0.5,0.6748511904761905,0.7328204095824306,0.641069754478814,0.5238095238095238,0.7142857142857143,0.0209441184997558
DataClass,SVM,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.6923076923076923,0.6363636363636364,0.0,1.0,0.0,0.0,0.3076923076923077,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.7380952380952381,0.75,0.875,0.6953125,0.8820486749252048,0.8203509599382847,0.2857142857142857,0.3333333333333333,0.0119533538818359
DataClass,SVM,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.5384615384615384,0.7272727272727273,0.3333333333333333,0.7333333333333333,0.0,0.0,0.4615384615384615,0.0909090909090909,0.0,0.1818181818181818,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2666666666666666,0.0,0.6428571428571429,0.6875,0.75,0.6852678571428572,0.7170946098397395,0.6509227947358035,0.5,0.7857142857142857,0.011967658996582
DataClass,SVM,0.3174603174603174,0.8333333333333334,0.1587301587301587,0.8333333333333334,0.0793650793650793,0.8333333333333334,0.5,0.6666666666666666,0.3333333333333333,0.9333333333333332,0.0,0.0833333333333333,0.4166666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0,0.6904761904761905,0.5,0.5,0.6883975812547242,0.8041961562435449,0.7227369170053555,0.3571428571428571,0.4523809523809524,0.0119674205780029
DataClass,SVM,0.3492063492063492,0.9166666666666666,0.1904761904761904,1.0,0.0952380952380952,1.0,0.75,0.6666666666666666,0.0,1.0,0.0,0.0,0.25,0.1666666666666666,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.6875,0.75,0.6929327286470145,0.8721601440457581,0.8205027119137485,0.2857142857142857,0.3809523809523809,0.0120043754577636
DataClass,SVM,0.3015873015873015,0.7916666666666666,0.1269841269841269,0.6666666666666666,0.0476190476190476,0.5,0.8333333333333334,0.5,0.0,0.8666666666666667,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0,0.4166666666666667,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0666666666666666,0.0666666666666666,0.6904761904761905,0.625,0.625,0.6834845049130764,0.7644155123058984,0.7054322096331619,0.4285714285714285,0.7142857142857143,0.0119681358337402
DataClass,SVM,0.3278688524590163,0.8333333333333334,0.1475409836065573,0.75,0.0655737704918032,0.6666666666666666,0.75,0.6363636363636364,0.0,0.9375,0.0,0.0,0.25,0.0909090909090909,0.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.0,0.7380952380952381,0.625,0.625,0.6930132708821235,0.8358960098267315,0.7666233400423955,0.3333333333333333,0.4761904761904761,0.0119683742523193
DataClass,SVM,0.3709677419354839,0.9583333333333334,0.1774193548387097,0.9166666666666666,0.0967741935483871,1.0,0.5833333333333334,0.8181818181818182,0.0,0.8,0.0,0.0,0.4166666666666667,0.0909090909090909,0.0,0.0909090909090909,0.5,0.5,0.0,0.0666666666666666,0.1333333333333333,0.0,0.6666666666666666,0.75,0.875,0.6647465437788018,0.8100446226107195,0.7432728649281091,0.4047619047619047,0.5476190476190477,0.0129995346069335
DataClass,SVM,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.0806451612903225,0.8333333333333334,0.75,0.3636363636363636,0.25,0.7333333333333333,0.0833333333333333,0.0,0.1666666666666666,0.0909090909090909,0.0,0.5454545454545454,0.0,0.75,0.0,0.0,0.2,0.0666666666666666,0.5952380952380952,0.5625,0.5,0.6662826420890937,0.6780832271514919,0.6233771435882773,0.5952380952380952,1.0714285714285714,0.011967658996582
DataClass,SVM,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.5384615384615384,0.8181818181818182,0.0,0.9333333333333332,0.0769230769230769,0.0,0.3846153846153846,0.0909090909090909,0.0,0.0909090909090909,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.7142857142857143,0.6875,0.875,0.6796875,0.7848337755980783,0.7365459931328117,0.3809523809523809,0.6190476190476191,0.0109705924987792
DataClass,SVM,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.8461538461538461,0.8181818181818182,0.0,0.8666666666666667,0.0,0.0,0.1538461538461538,0.0909090909090909,0.0,0.0909090909090909,0.6666666666666666,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.7857142857142857,0.875,0.875,0.6908482142857143,0.8748462141753507,0.8259506902003956,0.2857142857142857,0.4285714285714285,0.0129649639129638
DataClass,SVM,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.6153846153846154,1.0,0.0,0.8666666666666667,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.1333333333333333,0.0,0.7619047619047619,0.8125,0.875,0.670014880952381,0.8309327955125914,0.7752029840841521,0.3095238095238095,0.4523809523809524,0.0109682083129882
DataClass,SVM,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.4615384615384615,0.7272727272727273,0.3333333333333333,0.9333333333333332,0.1538461538461538,0.0769230769230769,0.3076923076923077,0.0,0.0909090909090909,0.1818181818181818,0.0,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0,0.6904761904761905,0.5625,0.75,0.6551339285714286,0.7035266709017147,0.6482118627693603,0.4523809523809524,0.8333333333333334,0.0129749774932861
DataClass,SVM,0.3015873015873015,0.7916666666666666,0.1428571428571428,0.75,0.0476190476190476,0.5,0.5833333333333334,0.75,0.3333333333333333,0.8666666666666667,0.0833333333333333,0.0,0.3333333333333333,0.0833333333333333,0.0,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0666666666666666,0.7142857142857143,0.6875,0.625,0.6600529100529101,0.7096409224317842,0.6652203181393567,0.4285714285714285,0.8095238095238095,0.0120055675506591
DataClass,SVM,0.2698412698412698,0.7083333333333334,0.1428571428571428,0.75,0.0476190476190476,0.5,0.4166666666666667,0.5,0.0,0.9333333333333332,0.0833333333333333,0.0,0.5,0.0833333333333333,0.0,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0666666666666666,0.5952380952380952,0.5625,0.375,0.6524943310657598,0.6668739706929194,0.5953647726691225,0.5238095238095238,0.8571428571428571,0.0119698047637939
DataClass,SVM,0.3809523809523809,1.0,0.1904761904761904,1.0,0.0952380952380952,1.0,0.75,0.5833333333333334,0.3333333333333333,0.9333333333333332,0.1666666666666666,0.0,0.0833333333333333,0.1666666666666666,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0,0.7380952380952381,0.75,1.0,0.6521164021164024,0.73803142850751,0.6970937674389164,0.4285714285714285,0.8571428571428571,0.0119678974151611
DataClass,SVM,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.6666666666666666,0.8181818181818182,0.0,0.875,0.0,0.0,0.3333333333333333,0.0,0.0,0.1818181818181818,0.3333333333333333,0.6666666666666666,0.0,0.0,0.125,0.0,0.7380952380952381,0.75,0.75,0.7023809523809526,0.8533731926245326,0.7974750514053593,0.3095238095238095,0.4047619047619047,0.0119667053222656
DataClass,SVM,0.3709677419354839,0.9583333333333334,0.1774193548387097,0.9166666666666666,0.0806451612903225,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.25,0.8,0.0833333333333333,0.0,0.25,0.0,0.0,0.3636363636363636,0.25,0.5,0.0,0.0,0.2,0.0,0.6666666666666666,0.625,0.875,0.6789554531490017,0.7499148644458509,0.69238905822535,0.4523809523809524,0.7380952380952381,0.0109698772430419
DataClass,SVM,0.3387096774193548,0.875,0.1451612903225806,0.75,0.0967741935483871,1.0,0.5833333333333334,0.8181818181818182,0.25,0.9333333333333332,0.1666666666666666,0.0,0.25,0.0909090909090909,0.0909090909090909,0.0,0.5,0.25,0.0,0.0,0.0,0.0666666666666666,0.7380952380952381,0.875,0.875,0.6658986175115207,0.71009876359983,0.677055478525383,0.4285714285714285,0.9047619047619048,0.010953664779663
DataClass,SVM,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.4615384615384615,0.7272727272727273,0.0,0.8,0.1538461538461538,0.0,0.3846153846153846,0.0909090909090909,0.0,0.1818181818181818,0.0,0.6666666666666666,0.3333333333333333,0.0,0.2,0.0,0.6190476190476191,0.5,0.75,0.6335565476190477,0.6096182929488563,0.5548920769347874,0.5952380952380952,1.119047619047619,0.0119683742523193
DataClass,SVM,0.296875,0.7916666666666666,0.140625,0.75,0.09375,1.0,0.6153846153846154,0.7272727272727273,0.0,0.8,0.0769230769230769,0.0,0.3076923076923077,0.0,0.0,0.2727272727272727,0.6666666666666666,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0666666666666666,0.6666666666666666,0.6875,0.625,0.6737351190476191,0.692834513065581,0.6392738677796214,0.4761904761904761,0.8571428571428571,0.0119659900665283
DataClass,SVM,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.5384615384615384,0.8181818181818182,0.3333333333333333,0.8666666666666667,0.0,0.0769230769230769,0.3846153846153846,0.0,0.0,0.1818181818181818,0.0,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0666666666666666,0.7142857142857143,0.5625,0.75,0.6789434523809524,0.7471002361288975,0.6896821962726816,0.3809523809523809,0.6190476190476191,0.0109724998474121
DataClass,SVM,0.375,1.0,0.1875,1.0,0.09375,1.0,0.7692307692307693,0.8181818181818182,0.3333333333333333,0.9333333333333332,0.0769230769230769,0.0,0.1538461538461538,0.1818181818181818,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0,0.8095238095238095,0.9375,1.0,0.6945684523809524,0.829656299258363,0.7936958670095039,0.3095238095238095,0.5952380952380952,0.0119681358337402
DataClass,SVM,0.365079365079365,0.9583333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.75,0.3333333333333333,0.0,0.8666666666666667,0.0,0.0,0.25,0.0833333333333333,0.0,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.6190476190476191,0.5625,0.875,0.674414210128496,0.7982385736887384,0.7208651497835736,0.4523809523809524,0.5952380952380952,0.0119321346282958
DataClass,SVM,0.3015873015873015,0.7916666666666666,0.1746031746031746,0.9166666666666666,0.0952380952380952,1.0,0.5833333333333334,0.5833333333333334,0.0,0.8666666666666667,0.0,0.0,0.4166666666666667,0.0833333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.1333333333333333,0.0,0.6428571428571429,0.5,0.5,0.6611866969009828,0.7242281155464323,0.640982413900151,0.4761904761904761,0.7142857142857143,0.011967658996582
DataClass,SVM,0.365079365079365,0.9583333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.8333333333333334,0.75,0.0,0.9333333333333332,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0,0.7857142857142857,0.8125,0.875,0.7065381708238853,0.8833275253009292,0.8352486096975946,0.2619047619047619,0.3571428571428571,0.0119683742523193
DataClass,SVM,0.2786885245901639,0.7083333333333334,0.1311475409836065,0.6666666666666666,0.0491803278688524,0.5,0.4166666666666667,0.5454545454545454,0.3333333333333333,1.0,0.0833333333333333,0.0,0.5,0.0,0.0,0.4545454545454545,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.5,0.25,0.6824746291959408,0.7311639709976844,0.6348356332547146,0.4285714285714285,0.6666666666666666,0.0119664669036865
DataClass,SVM,0.3387096774193548,0.875,0.1612903225806451,0.8333333333333334,0.0806451612903225,0.8333333333333334,0.5,0.6363636363636364,0.0,0.9333333333333332,0.0,0.0,0.5,0.0909090909090909,0.0,0.2727272727272727,0.5,0.5,0.0,0.0,0.0666666666666666,0.0,0.6428571428571429,0.5,0.625,0.6793394777265745,0.8095210625728757,0.7321375044615305,0.4047619047619047,0.5,0.0119574069976806
DataClass,SVM,0.3387096774193548,0.875,0.1935483870967742,1.0,0.0967741935483871,1.0,0.75,0.5454545454545454,0.0,0.9333333333333332,0.0,0.0,0.25,0.0909090909090909,0.1818181818181818,0.1818181818181818,0.0,0.75,0.25,0.0,0.0666666666666666,0.0,0.6904761904761905,0.6875,0.75,0.6920122887864825,0.8288607843524591,0.7565313244872174,0.3809523809523809,0.5238095238095238,0.0119695663452148
DataClass,SVM,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.5384615384615384,0.7272727272727273,0.0,0.8,0.0,0.0,0.4615384615384615,0.0,0.0,0.2727272727272727,0.6666666666666666,0.3333333333333333,0.0,0.0,0.2,0.0,0.6428571428571429,0.625,0.75,0.6785714285714286,0.7770081270793625,0.7052700333818708,0.4285714285714285,0.5714285714285714,0.0130002498626708
DataClass,SVM,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6153846153846154,0.8181818181818182,0.3333333333333333,0.9333333333333332,0.0769230769230769,0.0769230769230769,0.2307692307692307,0.0909090909090909,0.0,0.0909090909090909,0.0,0.6666666666666666,0.0,0.0666666666666666,0.0,0.0,0.7619047619047619,0.875,0.875,0.6804315476190477,0.8060257203329494,0.7522540613732451,0.3333333333333333,0.5714285714285714,0.0119671821594238
DataClass,SVM,0.328125,0.875,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.5384615384615384,0.4545454545454545,0.3333333333333333,0.8,0.1538461538461538,0.0,0.3076923076923077,0.0909090909090909,0.0,0.4545454545454545,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.0,0.5952380952380952,0.5,0.625,0.6506696428571429,0.6393657409459974,0.5769313065986591,0.5952380952380952,1.0714285714285714,0.0119869709014892
DataClass,SVM,0.296875,0.7916666666666666,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.5384615384615384,0.5454545454545454,0.3333333333333333,0.8,0.1538461538461538,0.0,0.3076923076923077,0.0909090909090909,0.0,0.3636363636363636,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0666666666666666,0.6190476190476191,0.625,0.625,0.6484375,0.599213577026428,0.5529942873928899,0.5952380952380952,1.1666666666666667,0.0109684467315673
DataClass,SVM,0.3492063492063492,0.9166666666666666,0.1746031746031746,0.9166666666666666,0.0952380952380952,1.0,0.8333333333333334,0.75,0.0,0.6,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0,0.1666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4,0.0,0.6666666666666666,0.8125,0.75,0.6672335600907032,0.7731370925362601,0.7106109383534988,0.5,0.8333333333333334,0.0119678974151611
DataClass,SVM,0.3492063492063492,0.9166666666666666,0.1746031746031746,0.9166666666666666,0.0793650793650793,0.8333333333333334,0.75,0.8333333333333334,0.0,0.9333333333333332,0.0,0.0,0.25,0.0,0.0,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0,0.7857142857142857,0.6875,0.75,0.6997354497354499,0.8880336208650924,0.8390670565610187,0.238095238095238,0.2857142857142857,0.0109674930572509
DataClass,SVM,0.3492063492063492,0.9166666666666666,0.1904761904761904,1.0,0.0952380952380952,1.0,0.8333333333333334,0.5833333333333334,0.0,0.9333333333333332,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.25,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.7380952380952381,0.6875,0.75,0.6895313681027968,0.8529869623257884,0.7996930195389127,0.3333333333333333,0.4761904761904761,0.0119681358337402
DataClass,SVM,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.6666666666666666,0.9090909090909092,0.0,0.875,0.0833333333333333,0.0,0.25,0.0,0.0,0.0909090909090909,0.6666666666666666,0.3333333333333333,0.0,0.0,0.125,0.0,0.7619047619047619,0.6875,0.875,0.6863778298204528,0.8073847693788682,0.762850999516703,0.3333333333333333,0.5714285714285714,0.011967658996582
DataClass,SVM,0.3387096774193548,0.875,0.1612903225806451,0.8333333333333334,0.0806451612903225,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.25,0.8,0.0,0.0,0.3333333333333333,0.0909090909090909,0.0,0.2727272727272727,0.0,0.5,0.25,0.0,0.2,0.0,0.6666666666666666,0.625,0.625,0.6781874039938558,0.7653128160256544,0.6968116238539122,0.4523809523809524,0.6904761904761905,0.0119295120239257
DataClass,SVM,0.3064516129032258,0.7916666666666666,0.1451612903225806,0.75,0.0967741935483871,1.0,0.6666666666666666,0.7272727272727273,0.0,0.8666666666666667,0.0833333333333333,0.0,0.25,0.0909090909090909,0.0,0.1818181818181818,0.25,0.75,0.0,0.0,0.0666666666666666,0.0666666666666666,0.6904761904761905,0.625,0.625,0.675115207373272,0.7173479797445709,0.6716030266422731,0.4523809523809524,0.8333333333333334,0.0119678974151611
DataClass,SVM,0.328125,0.875,0.140625,0.75,0.046875,0.5,0.6923076923076923,0.8181818181818182,0.3333333333333333,0.6,0.0,0.0769230769230769,0.2307692307692307,0.0,0.0,0.1818181818181818,0.0,0.6666666666666666,0.0,0.0666666666666666,0.2666666666666666,0.0666666666666666,0.6666666666666666,0.75,0.875,0.6540178571428572,0.6990224252494973,0.6460149891293958,0.5,0.8809523809523809,0.0119669437408447
DataClass,SVM,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.6153846153846154,0.6363636363636364,0.3333333333333333,0.9333333333333332,0.1538461538461538,0.0,0.2307692307692307,0.1818181818181818,0.0,0.1818181818181818,0.0,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0,0.7142857142857143,0.75,0.75,0.6584821428571429,0.7226360829754735,0.6791247062905588,0.4523809523809524,0.8809523809523809,0.0119693279266357
DataClass,SVM,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.6153846153846154,0.8181818181818182,0.0,0.8,0.0769230769230769,0.0,0.3076923076923077,0.0,0.0,0.1818181818181818,0.3333333333333333,0.6666666666666666,0.0,0.0,0.2,0.0,0.6904761904761905,0.6875,0.875,0.668154761904762,0.7522138743147465,0.701911604651481,0.4285714285714285,0.7142857142857143,0.0119686126708984
DataClass,SVM,0.328125,0.875,0.15625,0.8333333333333334,0.09375,1.0,0.6153846153846154,0.4545454545454545,0.3333333333333333,0.8666666666666667,0.0,0.0,0.3846153846153846,0.2727272727272727,0.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.6428571428571429,0.5625,0.625,0.6796875,0.7723460736180436,0.696555543448604,0.4761904761904761,0.7142857142857143,0.0119993686676025
DataClass,SVM,0.3492063492063492,0.9166666666666666,0.1587301587301587,0.8333333333333334,0.0793650793650793,0.8333333333333334,0.6666666666666666,0.75,0.0,0.9333333333333332,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0,0.7380952380952381,0.8125,0.75,0.6982237339380198,0.858690609987494,0.7991114824390655,0.2857142857142857,0.3333333333333333,0.0109705924987792
DataClass,SVM,0.3492063492063492,0.9166666666666666,0.1746031746031746,0.9166666666666666,0.0793650793650793,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.0,1.0,0.0833333333333333,0.0,0.3333333333333333,0.0833333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.6904761904761905,0.5625,0.75,0.6789493575207862,0.7666462664835139,0.6880521792530306,0.4047619047619047,0.6428571428571429,0.010970115661621
DataClass,SVM,0.3333333333333333,0.875,0.1746031746031746,0.9166666666666666,0.0793650793650793,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.0,0.9333333333333332,0.0833333333333333,0.0,0.3333333333333333,0.1666666666666666,0.0,0.25,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0666666666666666,0.0,0.6666666666666666,0.5625,0.625,0.673658352229781,0.7206102453611576,0.6554015564676894,0.4761904761904761,0.8095238095238095,0.0109686851501464
DataClass,SVM,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.6666666666666666,0.7272727272727273,0.0,0.875,0.0,0.0,0.3333333333333333,0.0909090909090909,0.0,0.1818181818181818,0.0,1.0,0.0,0.0,0.125,0.0,0.7142857142857143,0.625,0.875,0.6969164715066355,0.8329614899926164,0.7773283132645924,0.3571428571428571,0.5,0.0119695663452148
DataClass,SVM,0.3709677419354839,0.9583333333333334,0.1935483870967742,1.0,0.0967741935483871,1.0,0.8333333333333334,0.6363636363636364,0.0,0.8,0.0,0.0,0.1666666666666666,0.0,0.0,0.3636363636363636,0.5,0.5,0.0,0.0,0.2,0.0,0.6904761904761905,0.6875,0.875,0.7043010752688174,0.841040386416304,0.7761184592986206,0.3809523809523809,0.5238095238095238,0.0119695663452148
DataClass,SVM,0.2741935483870967,0.7083333333333334,0.1290322580645161,0.6666666666666666,0.0483870967741935,0.5,0.75,0.7272727272727273,0.25,0.8,0.0,0.0,0.25,0.0,0.0,0.2727272727272727,0.0,0.75,0.0,0.0,0.0666666666666666,0.1333333333333333,0.7142857142857143,0.5625,0.625,0.6716589861751152,0.7351640578930179,0.6956473596758224,0.4047619047619047,0.7380952380952381,0.0119678974151611
DataClass,SVM,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.7272727272727273,0.3333333333333333,0.8666666666666667,0.0,0.0,0.3076923076923077,0.1818181818181818,0.0,0.0909090909090909,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.7380952380952381,0.75,0.875,0.7068452380952381,0.829013386533234,0.7731366619289679,0.3571428571428571,0.5476190476190477,0.0119678974151611
DataClass,SVM,0.34375,0.9166666666666666,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.6153846153846154,0.6363636363636364,0.0,0.9333333333333332,0.1538461538461538,0.0,0.2307692307692307,0.0909090909090909,0.0,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0,0.6904761904761905,0.8125,0.75,0.6744791666666667,0.726750911411841,0.6766305432107023,0.4523809523809524,0.8333333333333334,0.011939525604248
DataClass,SVM,0.328125,0.875,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.5384615384615384,0.5454545454545454,0.0,0.7333333333333333,0.0769230769230769,0.0,0.3846153846153846,0.0909090909090909,0.0,0.3636363636363636,0.0,0.6666666666666666,0.3333333333333333,0.0,0.2666666666666666,0.0,0.5714285714285714,0.5,0.625,0.6361607142857143,0.6388192737390548,0.5731582284004898,0.6190476190476191,1.0476190476190477,0.0110056400299072
DataClass,SVM,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.6363636363636364,0.0,0.8666666666666667,0.0,0.0,0.3076923076923077,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.0,0.6666666666666666,0.3333333333333333,0.0,0.1333333333333333,0.0,0.6904761904761905,0.6875,0.875,0.6744791666666667,0.7970323213412629,0.7285740759716414,0.4047619047619047,0.5952380952380952,0.012965440750122
DataClass,SVM,0.3333333333333333,0.875,0.1746031746031746,0.9166666666666666,0.0952380952380952,1.0,0.5,0.75,0.0,0.9333333333333332,0.1666666666666666,0.0833333333333333,0.25,0.0,0.0,0.25,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0,0.6904761904761905,0.6875,0.625,0.6551398337112623,0.7058753979632277,0.6409540015396671,0.4523809523809524,0.8333333333333334,0.0119695663452148
DataClass,SVM,0.3333333333333333,0.875,0.1428571428571428,0.75,0.0793650793650793,0.8333333333333334,0.5833333333333334,0.75,0.0,0.9333333333333332,0.0,0.0,0.4166666666666667,0.0,0.0,0.25,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0666666666666666,0.0,0.7142857142857143,0.4375,0.75,0.6982237339380197,0.8137251627630264,0.7341836744908913,0.3333333333333333,0.4285714285714285,0.0119729042053222
DataClass,SVM,0.365079365079365,0.9583333333333334,0.1746031746031746,0.9166666666666666,0.0793650793650793,0.8333333333333334,0.5833333333333334,0.75,0.0,0.8666666666666667,0.0833333333333333,0.0,0.3333333333333333,0.1666666666666666,0.0,0.0833333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.6904761904761905,0.75,0.875,0.682350718065004,0.7429099920713108,0.6929407109164757,0.4523809523809524,0.7857142857142857,0.0129637718200683
DataClass,SVM,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.8333333333333334,0.6363636363636364,0.0,0.875,0.0,0.0,0.1666666666666666,0.0,0.0909090909090909,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.0,0.0,0.125,0.0,0.7380952380952381,0.6875,0.75,0.7070647931303669,0.8727341355074997,0.8135551371001888,0.3095238095238095,0.4047619047619047,0.0129671096801757
