Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,SVM,0.4814814814814814,0.7222222222222222,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.3333333333333333,0.0,0.9642857142857144,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.7142857142857143,0.5625,0.5,0.695326278659612,0.5378831193438613,0.5160170077723356,0.4523809523809524,0.7857142857142857,0.0105307102203369
FeatureEnvy,SVM,0.5555555555555556,0.8333333333333334,0.2592592592592592,0.7,0.1851851851851851,0.8333333333333334,0.0,1.0,0.0,0.9642857142857144,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.75,0.75,0.8179012345679016,0.853529503810655,0.8188316843611817,0.1666666666666666,0.2142857142857142,0.0107488632202148
FeatureEnvy,SVM,0.5185185185185185,0.7777777777777778,0.2222222222222222,0.6,0.074074074074074,0.3333333333333333,0.0,0.7777777777777778,0.0,0.9642857142857144,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.625,0.625,0.7826278659611996,0.7670274017962847,0.7358460797898339,0.2619047619047619,0.4047619047619047,0.0099730491638183
FeatureEnvy,SVM,0.6071428571428571,0.9444444444444444,0.25,0.7,0.1071428571428571,0.5,0.0,0.9,0.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8809523809523809,0.8125,0.625,0.8035714285714283,0.910579447153001,0.8783846725823048,0.1428571428571428,0.1904761904761904,0.0099596977233886
FeatureEnvy,SVM,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.4,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8095238095238095,0.75,0.625,0.6777210884353743,0.7605286029259811,0.7336390799938275,0.2857142857142857,0.4761904761904761,0.0109703540802001
FeatureEnvy,SVM,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,0.0,0.5,0.0,0.9642857142857144,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.7619047619047619,0.625,0.625,0.6972789115646257,0.6395354160968478,0.6169237718129913,0.3809523809523809,0.6666666666666666,0.0119695663452148
FeatureEnvy,SVM,0.5714285714285714,0.8888888888888888,0.25,0.7,0.1428571428571428,0.6666666666666666,0.0,0.7,0.0,1.0,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8333333333333334,0.8125,0.75,0.7287414965986396,0.8103967903110666,0.7817441098025678,0.238095238095238,0.3809523809523809,0.0120060443878173
FeatureEnvy,SVM,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.0,0.8,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.6875,0.875,0.8095238095238091,0.8437007679950831,0.8138705800684267,0.1904761904761904,0.2857142857142857,0.0109705924987792
FeatureEnvy,SVM,0.5172413793103449,0.7894736842105263,0.3103448275862069,0.8181818181818182,0.1724137931034483,0.8333333333333334,0.0,0.7777777777777778,0.0,0.9642857142857144,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.5,0.5,0.8148604269293926,0.8264115355950631,0.7928161201758901,0.2619047619047619,0.4047619047619047,0.0109727382659912
FeatureEnvy,SVM,0.4482758620689655,0.6842105263157895,0.2413793103448276,0.6363636363636364,0.1724137931034483,0.8333333333333334,0.0,0.6666666666666666,0.0,0.8928571428571429,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5,0.5,0.0,0.0,0.1071428571428571,0.0,0.7380952380952381,0.625,0.375,0.672824302134647,0.5585789413317437,0.5358714998571648,0.4523809523809524,0.8809523809523809,0.0099084377288818
FeatureEnvy,SVM,0.5925925925925926,0.8888888888888888,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.8095238095238095,0.6875,0.75,0.7164902998236331,0.6936646509711485,0.6654656833778523,0.3095238095238095,0.5952380952380952,0.010970115661621
FeatureEnvy,SVM,0.6296296296296297,0.9444444444444444,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.8571428571428571,0.8125,0.625,0.7993827160493828,0.8823497034649569,0.8464802805973963,0.1666666666666666,0.2142857142857142,0.0109705924987792
FeatureEnvy,SVM,0.5185185185185185,0.7777777777777778,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.6666666666666666,0.0,0.9285714285714286,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.7619047619047619,0.6875,0.5,0.70679012345679,0.6256846285308741,0.600249195805761,0.3571428571428571,0.5952380952380952,0.0109724998474121
FeatureEnvy,SVM,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.0,0.9,0.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8809523809523809,0.8125,0.75,0.8018707482993197,0.910579447153001,0.8783846725823048,0.1428571428571428,0.1904761904761904,0.0119249820709228
FeatureEnvy,SVM,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.7857142857142857,0.75,0.625,0.7142857142857142,0.7104236340739727,0.6853056404489056,0.3333333333333333,0.5714285714285714,0.0099477767944335
FeatureEnvy,SVM,0.5,0.7777777777777778,0.3214285714285714,0.9,0.1071428571428571,0.5,0.0,0.7,0.0,0.9642857142857144,0.0,0.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.6875,0.375,0.7814625850340132,0.7692826363878801,0.7420836026988438,0.2857142857142857,0.4761904761904761,0.0099725723266601
FeatureEnvy,SVM,0.5357142857142857,0.8333333333333334,0.25,0.7,0.0714285714285714,0.3333333333333333,0.0,0.8,0.0,0.9642857142857144,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8333333333333334,0.8125,0.75,0.75,0.7796697029712514,0.752103420418705,0.238095238095238,0.3809523809523809,0.0109703540802001
FeatureEnvy,SVM,0.5357142857142857,0.8333333333333334,0.25,0.7,0.1071428571428571,0.5,0.0,0.7,0.0,0.9642857142857144,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.75,0.5,0.7397959183673471,0.7474075083655445,0.7209818995737931,0.2857142857142857,0.4761904761904761,0.0109724998474121
FeatureEnvy,SVM,0.5517241379310345,0.8421052631578947,0.2413793103448276,0.6363636363636364,0.1379310344827586,0.6666666666666666,0.0,0.5555555555555556,0.0,0.9642857142857144,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.7619047619047619,0.6875,0.625,0.7171592775041051,0.6839443528027875,0.6561405363429145,0.3571428571428571,0.5952380952380952,0.0099754333496093
FeatureEnvy,SVM,0.4827586206896552,0.7368421052631579,0.2758620689655172,0.7272727272727273,0.0689655172413793,0.3333333333333333,0.0,0.7777777777777778,0.0,0.8571428571428571,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.5,0.5,0.0,0.0,0.1428571428571428,0.0,0.7380952380952381,0.5,0.5,0.7450738916256158,0.6546002406655359,0.6279893257987509,0.4047619047619047,0.6904761904761905,0.010932445526123
FeatureEnvy,SVM,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.8888888888888888,0.0,0.8928571428571429,0.5,0.0,0.5,0.1111111111111111,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.1071428571428571,0.0,0.7857142857142857,0.6875,0.5,0.6926807760141089,0.6300112632468536,0.6043999434674224,0.3571428571428571,0.6904761904761905,0.0109696388244628
FeatureEnvy,SVM,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.0,0.7777777777777778,0.0,0.9642857142857144,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.625,0.75,0.79673721340388,0.7908851365584967,0.7587339460594436,0.2619047619047619,0.4047619047619047,0.0109708309173583
FeatureEnvy,SVM,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.7619047619047619,0.6875,0.5,0.7103174603174605,0.6739359083543676,0.6465389567971028,0.3571428571428571,0.5952380952380952,0.0119695663452148
FeatureEnvy,SVM,0.5,0.7777777777777778,0.1785714285714285,0.5,0.1785714285714285,0.8333333333333334,0.0,0.8,0.0,0.9285714285714286,0.0,0.0,1.0,0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.0714285714285714,0.0,0.8095238095238095,0.6875,0.5,0.7823129251700683,0.7466241379651724,0.7202262262991624,0.2857142857142857,0.4761904761904761,0.0100107192993164
FeatureEnvy,SVM,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.75,0.75,0.7653061224489797,0.7465468697048526,0.7201516899632567,0.2857142857142857,0.4761904761904761,0.0109705924987792
FeatureEnvy,SVM,0.5,0.7777777777777778,0.1785714285714285,0.5,0.1428571428571428,0.6666666666666666,0.0,0.7,0.0,0.8928571428571429,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.1071428571428571,0.0,0.7619047619047619,0.625,0.625,0.7236394557823129,0.6392329948331955,0.6166320430643515,0.3809523809523809,0.6666666666666666,0.0110135078430175
FeatureEnvy,SVM,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,0.0,0.7,0.0,1.0,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8333333333333334,0.75,0.75,0.7568027210884357,0.8103967903110666,0.7817441098025678,0.238095238095238,0.3809523809523809,0.0110065937042236
FeatureEnvy,SVM,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.0,0.7,0.0,1.0,0.0,0.0,1.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.6875,0.75,0.7967687074829932,0.795098084877162,0.7669863109026379,0.238095238095238,0.3809523809523809,0.0109698772430419
