Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,SVM,0.5161290322580645,0.8,0.2258064516129032,0.5833333333333334,0.1290322580645161,0.6666666666666666,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.625,0.75,0.8314132104454682,0.8929429999288244,0.8583325077599886,0.2142857142857142,0.3095238095238095,0.0089955329895019
LongMethod,SVM,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.25,0.8888888888888888,0.0,1.0,0.0,0.0,0.75,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.875,0.809907834101382,0.939461451829282,0.9078074647039812,0.1428571428571428,0.1904761904761904,0.0100071430206298
LongMethod,SVM,0.5483870967741935,0.85,0.2258064516129032,0.5833333333333334,0.1612903225806451,0.8333333333333334,0.25,1.0,0.0,0.9642857142857144,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.6875,0.625,0.8314132104454682,0.9359862863000734,0.9049473135343156,0.1428571428571428,0.1904761904761904,0.0099925994873046
LongMethod,SVM,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1290322580645161,0.6666666666666666,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.625,0.5,0.8268049155145928,0.9363630563296436,0.9000696017296663,0.1666666666666666,0.2142857142857142,0.0099716186523437
LongMethod,SVM,0.5333333333333333,0.8421052631578947,0.2666666666666666,0.7272727272727273,0.2,1.0,0.3333333333333333,0.9,0.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.8125,0.75,0.7825396825396824,0.8678731745062428,0.8435484769916287,0.1666666666666666,0.2619047619047619,0.0110054016113281
LongMethod,SVM,0.5333333333333333,0.8421052631578947,0.2666666666666666,0.7272727272727273,0.1333333333333333,0.6666666666666666,0.0,0.9,0.0,0.9642857142857144,0.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.6875,0.75,0.7849206349206351,0.8827555556016404,0.8524226902661616,0.1904761904761904,0.2857142857142857,0.0099713802337646
LongMethod,SVM,0.6,0.9473684210526316,0.2666666666666666,0.7272727272727273,0.1333333333333333,0.6666666666666666,0.0,0.9,0.0,0.9642857142857144,0.0,0.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.75,0.75,0.8087301587301583,0.8617872317079192,0.8321748708665134,0.1904761904761904,0.2857142857142857,0.0100104808807373
LongMethod,SVM,0.6333333333333333,1.0,0.3,0.8181818181818182,0.1333333333333333,0.6666666666666666,0.0,0.9,0.0,0.9642857142857144,0.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.6875,0.625,0.7738095238095241,0.8827555556016404,0.8524226902661616,0.1904761904761904,0.2857142857142857,0.0089757442474365
LongMethod,SVM,0.5,0.7894736842105263,0.3,0.8181818181818182,0.2,1.0,0.3333333333333333,0.9,0.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.625,0.803968253968254,0.8894367410192888,0.8648374447691546,0.1666666666666666,0.2619047619047619,0.0099732875823974
LongMethod,SVM,0.5172413793103449,0.7894736842105263,0.2413793103448276,0.6363636363636364,0.1379310344827586,0.6666666666666666,0.0,1.0,0.0,0.9642857142857144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.625,0.875,0.8288177339901478,0.930221394629972,0.8924058840298039,0.1666666666666666,0.2142857142857142,0.0109720230102539
