Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,SVR,0.3442622950819672,0.875,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.4166666666666667,0.5454545454545454,0.6666666666666666,0.5625,0.0,0.0833333333333333,0.5,0.0,0.2727272727272727,0.1818181818181818,0.0,0.3333333333333333,0.0,0.3125,0.125,0.0,0.5238095238095238,0.5,0.75,0.6676424668227948,0.745070339800437,0.6662907356201151,0.5476190476190477,0.6904761904761905,0.0209436416625976
GodClass,SVR,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.6666666666666666,0.8181818181818182,0.0,0.6875,0.0,0.0,0.3333333333333333,0.0,0.1818181818181818,0.0,0.0,1.0,0.0,0.25,0.0625,0.0,0.6666666666666666,0.75,1.0,0.7062841530054645,0.8734397614045708,0.8071000323440369,0.3571428571428571,0.4047619047619047,0.0219287872314453
GodClass,SVR,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.75,0.6363636363636364,0.6666666666666666,0.75,0.0,0.1666666666666666,0.0833333333333333,0.0,0.3636363636363636,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.7142857142857143,0.9375,1.0,0.7117486338797815,0.8612307347987218,0.8010228580122988,0.3333333333333333,0.4285714285714285,0.0229303836822509
GodClass,SVR,0.3492063492063492,0.9166666666666666,0.1746031746031746,0.9166666666666666,0.0952380952380952,1.0,0.4615384615384615,0.6363636363636364,0.5,0.5625,0.0,0.0,0.5384615384615384,0.0,0.1818181818181818,0.1818181818181818,0.5,0.0,0.0,0.375,0.0625,0.0,0.5476190476190477,0.5625,0.75,0.6925547996976569,0.8153702777820254,0.7260472934185325,0.4761904761904761,0.5238095238095238,0.0219144821166992
GodClass,SVR,0.28125,0.75,0.1875,1.0,0.09375,1.0,0.3076923076923077,0.8181818181818182,0.3333333333333333,0.5333333333333333,0.0,0.2307692307692307,0.4615384615384615,0.0,0.0909090909090909,0.0909090909090909,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.5238095238095238,0.625,0.5,0.6458333333333334,0.5873381319687179,0.5084129400412126,0.6428571428571429,1.0238095238095235,0.0189568996429443
GodClass,SVR,0.375,1.0,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.8181818181818182,0.6666666666666666,0.8,0.0,0.0,0.3076923076923077,0.0,0.1818181818181818,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.7619047619047619,0.75,1.0,0.7053571428571429,0.891916776935467,0.8326631267577002,0.2619047619047619,0.3095238095238095,0.0209426879882812
GodClass,SVR,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.5384615384615384,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4615384615384615,0.0,0.0,0.1818181818181818,0.3333333333333333,0.0,0.0,0.2666666666666666,0.0666666666666666,0.0,0.6666666666666666,0.75,0.75,0.7027529761904763,0.8442618630462163,0.7665886219584991,0.3571428571428571,0.4047619047619047,0.020951509475708
GodClass,SVR,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.4615384615384615,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5384615384615384,0.0,0.2727272727272727,0.0909090909090909,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.5952380952380952,0.5625,0.75,0.7038690476190477,0.8650071413991325,0.7906682547518068,0.4047619047619047,0.4047619047619047,0.0229334831237792
GodClass,SVR,0.3125,0.8333333333333334,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.3076923076923077,0.4545454545454545,1.0,0.6,0.0,0.0,0.6923076923076923,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.5,0.625,0.6886160714285715,0.8266779515006287,0.7326051975177521,0.5,0.5,0.0199477672576904
GodClass,SVR,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.3846153846153846,0.8181818181818182,0.0,0.7333333333333333,0.0,0.0769230769230769,0.5384615384615384,0.0,0.0,0.1818181818181818,0.3333333333333333,0.6666666666666666,0.0,0.1333333333333333,0.1333333333333333,0.0,0.5952380952380952,0.4375,0.625,0.6662946428571429,0.7499672138375711,0.6664630562796393,0.4761904761904761,0.6190476190476191,0.0199458599090576
