Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,XGB,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.1111111111111111,0.5,0.5,0.8888888888888888,0.3333333333333333,0.9642857142857144,0.0,0.0,0.5,0.1111111111111111,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.875,0.75,0.7861552028218693,0.8313043337173868,0.8105501351909005,0.1666666666666666,0.2619047619047619,0.1326360702514648
FeatureEnvy,XGB,0.4814814814814814,0.7222222222222222,0.1851851851851851,0.5,0.1111111111111111,0.5,0.5,1.0,1.0,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.9285714285714286,0.8125,0.75,0.8320105820105822,0.8610148845011605,0.8505810536754643,0.1428571428571428,0.3333333333333333,0.1306507587432861
FeatureEnvy,XGB,0.6666666666666666,1.0,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,1.0,1.0,0.841710758377425,0.9724731440451524,0.9655576434439092,0.0238095238095238,0.0238095238095238,0.1346316337585449
FeatureEnvy,XGB,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8494897959183675,0.9877093430961322,0.9602124732943152,0.0714285714285714,0.0714285714285714,0.1336061954498291
FeatureEnvy,XGB,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.875,0.8222789115646261,0.9662016347103628,0.9401250139390852,0.0714285714285714,0.0714285714285714,0.1356351375579834
FeatureEnvy,XGB,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.5,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8494897959183673,0.9884118390727298,0.9624878583021216,0.0714285714285714,0.0714285714285714,0.1365978717803955
FeatureEnvy,XGB,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,1.0,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.8125,0.75,0.8341836734693879,0.940038612309267,0.905265631292467,0.0952380952380952,0.0952380952380952,0.1306142807006836
FeatureEnvy,XGB,0.5714285714285714,0.8888888888888888,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,1.0,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0357142857142857,0.0,0.9523809523809524,0.875,0.875,0.846938775510204,0.9237065399102196,0.9154611392046128,0.0714285714285714,0.119047619047619,0.1385829448699951
FeatureEnvy,XGB,0.6206896551724138,0.9473684210526316,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.8888888888888888,1.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.875,0.8452380952380951,0.963326238034531,0.9358456911135764,0.0952380952380952,0.0952380952380952,0.1336410045623779
FeatureEnvy,XGB,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.7777777777777778,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0,0.5,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.5,0.8329228243021346,0.9019932555401752,0.866551566036381,0.1666666666666666,0.3095238095238095,0.1306488513946533
FeatureEnvy,XGB,0.5555555555555556,0.8333333333333334,0.2592592592592592,0.7,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.75,0.625,0.8099647266313938,0.8774966274673596,0.8409523785176765,0.1666666666666666,0.2142857142857142,0.1296532154083252
FeatureEnvy,XGB,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.7777777777777778,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.0,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.8125,0.625,0.8399470899470902,0.93526554142518,0.8940693178597254,0.119047619047619,0.119047619047619,0.1366345882415771
FeatureEnvy,XGB,0.5925925925925926,0.8888888888888888,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.6666666666666666,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.9285714285714286,0.8125,0.875,0.8311287477954146,0.9010831625265054,0.8916640228258487,0.119047619047619,0.2142857142857142,0.1346001625061035
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.5,0.8,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.625,0.8460884353741497,0.9877093430961322,0.9602124732943152,0.0714285714285714,0.0714285714285714,0.1695449352264404
FeatureEnvy,XGB,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.9,0.5,1.0,0.0,0.0,0.5,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,1.0,0.7993197278911561,0.919695911013326,0.9029050586015,0.0952380952380952,0.1428571428571428,0.1296536922454834
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,1.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9523809523809524,0.875,1.0,0.8528911564625851,0.9693342521758338,0.9551588087847056,0.0476190476190476,0.0476190476190476,0.1376302242279052
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.75,0.75,0.8248299319727892,0.9384574349345252,0.9008128158627496,0.119047619047619,0.119047619047619,0.1326436996459961
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,1.0,0.9,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,0.875,0.8494897959183675,0.9701884811839182,0.9533143351460308,0.0476190476190476,0.0476190476190476,0.1336410045623779
FeatureEnvy,XGB,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.1034482758620689,0.5,1.0,0.8888888888888888,1.0,0.9642857142857144,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.9523809523809524,0.875,0.875,0.8321018062397372,0.8718679533452653,0.8687005468607072,0.119047619047619,0.3095238095238095,0.1326451301574707
FeatureEnvy,XGB,0.5517241379310345,0.8421052631578947,0.2758620689655172,0.7272727272727273,0.1379310344827586,0.6666666666666666,0.0,1.0,0.0,0.9285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8333333333333334,0.5625,0.75,0.8123973727422001,0.9116007606456806,0.8650701003603681,0.1904761904761904,0.238095238095238,0.1246652603149414
FeatureEnvy,XGB,0.6666666666666666,1.0,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.6666666666666666,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8809523809523809,0.6875,0.75,0.8328924162257496,0.887427323131841,0.856364467652483,0.1428571428571428,0.1904761904761904,0.1296534538269043
FeatureEnvy,XGB,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.6666666666666666,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.75,0.849647266313933,0.9638002730792066,0.9316006224333212,0.0952380952380952,0.0952380952380952,0.1286561489105224
FeatureEnvy,XGB,0.6666666666666666,1.0,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.875,0.875,0.8249559082892418,0.9399047027832056,0.910573770425716,0.0952380952380952,0.0952380952380952,0.1316473484039306
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,1.0,0.8435374149659867,0.970789199851266,0.9545158340311762,0.0476190476190476,0.0476190476190476,0.1365978717803955
FeatureEnvy,XGB,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8443877551020407,0.9875400917338596,0.9614143694375566,0.0714285714285714,0.0714285714285714,0.1336429119110107
FeatureEnvy,XGB,0.5,0.7777777777777778,0.2857142857142857,0.8,0.2142857142857142,1.0,1.0,1.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0357142857142857,0.9047619047619048,0.75,0.75,0.802721088435374,0.7905047588340056,0.785815483007497,0.2142857142857142,0.5,0.1346378326416015
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,0.875,0.8460884353741498,0.9701884811839182,0.9533143351460308,0.0476190476190476,0.0476190476190476,0.1356377601623535
FeatureEnvy,XGB,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.848639455782313,0.9846226150709944,0.9506320846305418,0.0952380952380952,0.0952380952380952,0.1316461563110351
FeatureEnvy,XGB,0.6551724137931034,1.0,0.3448275862068966,0.9090909090909092,0.2068965517241379,1.0,0.6666666666666666,1.0,1.0,0.9642857142857144,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.9523809523809524,0.875,0.875,0.8345648604269293,0.9466330036053504,0.9375583936787152,0.0714285714285714,0.119047619047619,0.1296529769897461
FeatureEnvy,XGB,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.2068965517241379,1.0,1.0,1.0,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0357142857142857,0.0,0.9523809523809524,0.9375,0.875,0.8435960591133002,0.9265253226242134,0.9180335532758014,0.0714285714285714,0.119047619047619,0.1336421966552734
FeatureEnvy,XGB,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.3333333333333333,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0357142857142857,0.0,0.0,0.9285714285714286,0.875,0.875,0.8522927689594357,0.941695856628994,0.9192555431537992,0.0714285714285714,0.0714285714285714,0.1336429119110107
FeatureEnvy,XGB,0.6666666666666666,1.0,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,1.0,0.8311287477954145,0.968627670487422,0.9538114167450834,0.0476190476190476,0.0476190476190476,0.1386291980743408
FeatureEnvy,XGB,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1111111111111111,0.5,1.0,1.0,1.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.9523809523809524,0.875,0.75,0.828483245149912,0.8702239464648954,0.8672679967169526,0.119047619047619,0.3095238095238095,0.1356363296508789
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.9,1.0,1.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.875,0.8452380952380952,0.944554099952102,0.9353888677731452,0.0714285714285714,0.119047619047619,0.13360595703125
FeatureEnvy,XGB,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,0.0,0.9285714285714286,0.5,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.8333333333333334,0.625,0.625,0.780612244897959,0.8139653217195927,0.7845053383716096,0.2619047619047619,0.5,0.1256623268127441
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,1.0,0.7,0.5,0.9642857142857144,0.0,0.0,0.0,0.1,0.1,0.1,0.5,0.0,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.8125,0.875,0.8061224489795916,0.8848913895445166,0.8565181985835703,0.1428571428571428,0.1904761904761904,0.1326451301574707
FeatureEnvy,XGB,0.5714285714285714,0.8888888888888888,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.5,0.9,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8503401360544218,0.986935400577114,0.9594959788119234,0.0714285714285714,0.0714285714285714,0.130610704421997
FeatureEnvy,XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.9,0.5,0.9642857142857144,0.0,0.0,0.5,0.0,0.1,0.0,0.5,0.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.8125,0.875,0.8384353741496601,0.9377861315930106,0.9070040420991884,0.0952380952380952,0.0952380952380952,0.1346035003662109
