Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,XGB,0.5483870967741935,0.85,0.2580645161290322,0.6666666666666666,0.1612903225806451,0.8333333333333334,0.25,0.8888888888888888,0.0,1.0,0.0,0.0,0.75,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.75,0.833717357910906,0.939461451829282,0.9078074647039812,0.1428571428571428,0.1904761904761904,0.1266195774078369
LongMethod,XGB,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1612903225806451,0.8333333333333334,0.25,1.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8337173579109063,0.9837438169356658,0.9512162189999104,0.0952380952380952,0.0952380952380952,0.1246652603149414
LongMethod,XGB,0.6451612903225806,1.0,0.2903225806451613,0.75,0.1290322580645161,0.6666666666666666,1.0,0.6666666666666666,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.6875,0.625,0.8390937019969279,0.9517610575711264,0.9226215050398614,0.1428571428571428,0.1904761904761904,0.1266200542449951
LongMethod,XGB,0.6129032258064516,0.95,0.2903225806451613,0.75,0.1612903225806451,0.8333333333333334,0.25,0.8888888888888888,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8344854070660521,0.9767476513644008,0.9315516419063744,0.119047619047619,0.119047619047619,0.1256191730499267
LongMethod,XGB,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,1.0,1.0,0.8349206349206344,0.975877158848272,0.967280819570018,0.0238095238095238,0.0238095238095238,0.1266217231750488
LongMethod,XGB,0.5333333333333333,0.8421052631578947,0.3666666666666666,1.0,0.2,1.0,0.6666666666666666,1.0,0.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.9047619047619048,0.75,0.625,0.8380952380952382,0.9276282973164726,0.9016195594181062,0.119047619047619,0.1666666666666666,0.126659870147705
LongMethod,XGB,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,0.9375,0.875,0.8507936507936509,0.9954345145250948,0.9863245059127904,0.0238095238095238,0.0238095238095238,0.1286559104919433
LongMethod,XGB,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.875,0.83968253968254,0.9913942533359108,0.9732155676488424,0.0476190476190476,0.0476190476190476,0.1286177635192871
LongMethod,XGB,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8515873015873016,1.0,1.0,0.0,0.0,0.1286547183990478
LongMethod,XGB,0.4827586206896552,0.7368421052631579,0.2413793103448276,0.6363636363636364,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.7777777777777778,0.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8333333333333334,0.625,0.625,0.8050082101806236,0.8822475257921912,0.8432571690999192,0.2142857142857142,0.3095238095238095,0.1416213512420654
